%******************************************
%||======================================||

@relation Aulas_IHC2018 


@attribute Questao_1{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_2{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_3{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_4{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_5{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_6{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_7{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_8{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_9{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_10{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_11{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_12{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_13{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_14{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_15{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_16{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_17{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_18{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_19{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_20{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_21{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_22{'A', 'B', 'C', 'D', '#'} 
@attribute situacao{'fortemente_aprovado', 'provavelmente_aprovado', 'provavelmente_reprovado', 'fortemente_reprovado'} 

@data
'B', 'C', 'D', 'A', 'D', 'A', 'A', 'B', 'A', 'D', '#', '#', '#', '#', '#', 'A', 'B', 'C', 'A', 'A', 'D', 'A', 'provavelmente_aprovado'
'C', 'A', 'B', 'B', 'D', 'A', 'D', 'B', 'B', 'D', 'A', 'A', 'C', 'C', 'A', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_reprovado'
'C', 'A', 'B', 'B', 'D', 'B', 'A', 'B', 'A', 'A', 'C', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_reprovado'
'A', 'C', 'B', 'B', 'D', 'C', 'A', 'B', 'B', 'B', 'A', 'A', 'C', 'C', 'B', 'C', 'B', 'C', 'C', 'A', 'A', 'A', 'fortemente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'C', 'A', 'C', 'A', 'B', 'A', 'fortemente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'D', 'A', 'C', 'C', 'B', 'B', 'A', 'A', 'C', 'D', 'C', 'B', 'fortemente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'A', 'D', 'C', 'B', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'D', 'D', 'D', 'D', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'C', 'C', 'D', 'A', 'D', 'B', 'A', 'B', 'B', 'A', 'A', 'A', 'C', 'C', 'C', 'A', 'B', 'B', 'C', 'B', 'A', 'A', 'fortemente_aprovado'
'B', 'A', 'A', 'B', 'D', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'C', 'C', 'C', '#', 'B', 'C', 'B', 'A', 'B', 'A', 'fortemente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'D', 'C', 'B', 'A', 'D', 'A', 'A', 'B', 'D', 'A', 'A', 'A', 'C', 'C', 'B', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'A', 'A', '#', 'A', 'C', 'B', '#', 'C', 'B', 'A', 'A', 'A', 'B', 'C', 'D', '#', 'C', '#', 'C', '#', 'D', 'D', 'provavelmente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'B', 'C', 'D', 'C', 'C', 'A', 'A', 'B', 'B', 'C', 'A', 'A', 'D', 'C', 'B', 'D', 'C', 'A', 'D', 'A', 'D', 'C', 'provavelmente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'A', 'D', 'C', 'B', 'D', 'A', 'C', 'C', 'D', 'D', 'A', 'provavelmente_reprovado'
'B', 'C', 'A', 'C', 'D', '#', 'A', 'B', 'B', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_reprovado'
'D', 'C', 'C', '#', '#', '#', '#', 'B', 'B', 'A', 'A', 'A', 'C', 'A', 'B', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'A', 'D', 'C', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'D', 'C', 'C', 'D', 'A', 'C', 'C', 'B', 'C', 'D', 'A', 'provavelmente_aprovado'
'A', 'C', 'B', 'A', 'A', '#', 'A', 'C', 'B', 'C', 'A', 'A', 'C', 'C', 'B', 'C', 'C', 'C', 'B', 'C', 'D', 'A', 'fortemente_aprovado'
'A', '#', 'C', 'C', 'A', 'A', 'A', 'B', 'B', 'A', 'C', 'A', 'C', 'C', 'C', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'B', 'C', '#', '#', '#', 'A', '#', 'B', 'B', '#', '#', '#', 'C', 'C', '#', '#', 'A', 'A', 'A', 'B', 'D', 'A', 'provavelmente_reprovado'
'C', '#', 'D', 'A', 'D', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'C', 'C', 'C', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'#', 'C', 'C', 'A', 'D', 'A', '#', 'B', 'A', 'B', 'A', 'C', 'C', 'A', 'C', 'C', 'B', 'B', 'C', 'C', 'D', 'D', 'provavelmente_aprovado'
'#', 'C', 'A', 'A', 'C', 'A', 'D', 'B', 'D', 'B', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
