%******************************************
%||======================================||

@relation Aulas_IHC2018 


@attribute Questao_1{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_2{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_3{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_4{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_5{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_6{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_7{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_8{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_9{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_10{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_11{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_12{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_13{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_14{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_15{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_16{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_17{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_18{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_19{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_20{'A', 'B', 'C', 'D', '#'} 
@attribute situacao{'aprovado', 'reprovado'} 

@data
'A', 'A', 'A', '#', 'B', 'B', '#', 'C', 'D', 'B', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'D', 'A', 'B', 'B', 'B', 'A', 'B', 'C', 'B', 'B', 'reprovado'
'C', 'A', 'D', 'A', 'D', 'C', 'C', 'B', 'A', 'A', 'C', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'A', 'aprovado'
'B', 'C', 'C', 'B', 'D', 'A', 'C', 'A', 'B', 'D', 'C', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'B', 'B', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'A', 'A', '#', 'B', 'B', 'A', 'C', 'A', 'A', 'A', 'C', 'B', 'B', 'B', '#', '#', '#', '#', '#', '#', 'reprovado'
'B', 'C', 'D', 'A', 'D', 'B', 'A', 'B', 'D', 'A', '#', '#', '#', '#', 'B', 'B', 'B', 'A', 'B', 'B', 'aprovado'
'A', 'C', 'A', 'B', 'D', 'B', 'C', 'B', 'D', 'C', 'C', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'aprovado'
'A', 'C', 'D', 'A', 'B', 'B', 'D', 'B', 'B', 'A', 'C', 'A', 'B', 'A', 'B', 'A', 'A', 'C', 'B', 'B', 'aprovado'
'#', '#', '#', '#', '#', 'C', 'D', 'A', 'A', '#', 'D', 'A', 'C', 'A', 'B', 'A', 'B', 'C', 'B', 'B', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'C', 'B', 'B', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'reprovado'
'C', 'C', 'C', 'A', 'D', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'C', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'#', '#', '#', '#', '#', 'A', 'C', 'B', 'B', 'D', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'A', 'C', 'C', 'B', 'B', 'B', '#', 'B', 'C', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'A', 'C', 'C', 'A', 'D', 'A', 'C', 'B', 'B', 'A', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'C', 'B', 'B', 'aprovado'
'B', 'A', 'D', 'C', 'A', 'C', 'D', 'B', 'B', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'B', '#', 'B', 'B', 'A', 'A', 'B', 'A', 'reprovado'
'D', 'C', 'B', 'B', 'D', 'B', 'C', 'B', 'D', 'A', 'C', 'B', 'D', 'B', 'B', 'B', 'A', 'C', 'B', 'B', 'aprovado'
