%******************************************
%||======================================||

@relation Aulas_IHC2018 


@attribute Questao_1{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_2{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_3{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_4{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_5{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_6{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_7{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_8{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_9{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_10{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_11{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_12{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_13{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_14{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_15{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_16{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_17{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_18{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_19{'A', 'B', 'C', 'D', '#'} 
@attribute Questao_20{'A', 'B', 'C', 'D', '#'} 
@attribute situacao{'aprovado', 'reprovado'} 

@data
'A', 'A', 'A', '#', 'B', 'B', '#', 'C', 'D', 'B', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'provavelmente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'provavelmente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'D', 'A', 'B', 'B', 'B', 'A', 'B', 'C', 'B', 'B', 'provavelmente_aprovado'
'C', 'A', 'D', 'A', 'D', 'C', 'C', 'B', 'A', 'A', 'C', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'A', 'provavelmente_aprovado'
'B', 'C', 'C', 'B', 'D', 'A', 'C', 'A', 'B', 'D', 'C', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'B', 'B', 'provavelmente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'A', 'A', '#', 'B', 'B', 'A', 'C', 'A', 'A', 'A', 'C', 'B', 'B', 'B', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'B', 'C', 'D', 'A', 'D', 'B', 'A', 'B', 'D', 'A', '#', '#', '#', '#', 'B', 'B', 'B', 'A', 'B', 'B', 'provavelmente_aprovado'
'A', 'C', 'A', 'B', 'D', 'B', 'C', 'B', 'D', 'C', 'C', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'provavelmente_aprovado'
'A', 'C', 'D', 'A', 'B', 'B', 'D', 'B', 'B', 'A', 'C', 'A', 'B', 'A', 'B', 'A', 'A', 'C', 'B', 'B', 'provavelmente_reprovado'
'#', '#', '#', '#', '#', 'C', 'D', 'A', 'A', '#', 'D', 'A', 'C', 'A', 'B', 'A', 'B', 'C', 'B', 'B', 'provavelmente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'C', 'B', 'B', 'provavelmente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'provavelmente_reprovado'
'C', 'C', 'C', 'A', 'D', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'C', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'fortemente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'#', '#', '#', '#', '#', 'A', 'C', 'B', 'B', 'D', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'fortemente_reprovado'
'A', 'C', 'C', 'B', 'B', 'B', '#', 'B', 'C', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'A', 'C', 'C', 'A', 'D', 'A', 'C', 'B', 'B', 'A', 'C', 'A', 'B', 'A', 'B', 'B', 'B', 'C', 'B', 'B', 'fortemente_aprovado'
'B', 'A', 'D', 'C', 'A', 'C', 'D', 'B', 'B', 'A', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'provavelmente_aprovado'
'#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', 'A', 'B', '#', 'B', 'B', 'A', 'A', 'B', 'A', 'provavelmente_reprovado'
